mode,grid_size,density,seed,algorithm,expansions,messages,path_len,rdt_ms,route_messages,wall_ms,optimal_hops
sparse,20,0.2,11,A*,97,254,38,0.254,38,0.20125001901760697,38
sparse,20,0.2,11,QHR-V2X,97,254,38,0.254,38,4.689745983341709,38
sparse,20,0.2,12,Dijkstra,318,635,38,0.635,38,0.4364750056993216,38
sparse,20,0.2,12,A*,133,338,38,0.338,38,0.34534401493147016,38
sparse,20,0.2,12,QHR-V2X,133,338,38,0.338,38,6.710151996230707,38
sparse,20,0.2,13,Dijkstra,317,633,38,0.633,38,0.4951550217811018,38
sparse,20,0.2,13,A*,246,594,38,0.594,38,0.5145639879629016,38
sparse,20,0.2,13,QHR-V2X,238,577,38,0.577,38,12.223088007885963,38
sparse,20,0.2,14,Dijkstra,319,637,38,0.637,38,0.42982600280083716,38
sparse,20,0.2,14,A*,53,142,38,0.14200000000000002,38,0.10820501483976841,38
sparse,20,0.2,14,QHR-V2X,53,142,38,0.14200000000000002,38,2.4797100049909204,38
sparse,20,0.2,15,Dijkstra,320,639,38,0.639,38,0.4368230002000928,38
sparse,20,0.2,15,A*,46,124,38,0.124,38,0.0946910004131496,38
sparse,20,0.2,15,QHR-V2X,45,123,38,0.123,38,2.0533560018520802,38
sparse,20,0.2,16,Dijkstra,319,637,38,0.637,38,0.48572002560831606,38
sparse,20,0.2,16,A*,61,168,38,0.168,38,0.1347599900327623,38
sparse,20,0.2,16,QHR-V2X,61,168,38,0.168,38,2.869571006158367,38
sparse,20,0.2,17,Dijkstra,320,639,38,0.639,38,0.4351710085757077,38
sparse,20,0.2,17,A*,56,157,38,0.157,38,0.12704299297183752,38
sparse,20,0.2,17,QHR-V2X,56,157,38,0.157,38,2.8799829888157547,38
sparse,20,0.2,18,Dijkstra,319,637,39,0.637,39,0.4446170059964061,39
sparse,20,0.2,18,A*,212,471,39,0.47100000000000003,39,0.39184000343084335,39
sparse,20,0.2,18,QHR-V2X,209,466,39,0.466,39,10.465973988175392,39
sparse,20,0.2,19,Dijkstra,312,623,41,0.623,41,0.42546901386231184,41
sparse,20,0.2,19,A*,91,232,41,0.232,41,0.1814299903344363,41
sparse,20,0.2,19,QHR-V2X,91,232,41,0.232,41,4.534945008344948,41
sparse,30,0.2,0,Dijkstra,717,1433,58,1.433,58,1.1624089966062456,58
sparse,30,0.2,0,A*,114,321,58,0.321,58,0.28494599973782897,58
sparse,30,0.2,0,QHR-V2X,114,321,58,0.321,58,5.837985023390502,58
sparse,30,0.2,1,Dijkstra,718,1435,58,1.435,58,1.0878639877773821,58
sparse,30,0.2,1,A*,94,245,58,0.245,58,0.20801299251616,58
sparse,30,0.2,1,QHR-V2X,94,245,58,0.245,58,4.698215983808041,58
sparse,30,0.2,2,Dijkstra,719,1437,58,1.437,58,1.1472080077510327,58
sparse,30,0.2,2,A*,69,193,58,0.193,58,0.1793470000848174,58
sparse,30,0.2,2,QHR-V2X,69,193,58,0.193,58,3.7331640196498483,58
sparse,30,0.2,3,Dijkstra,717,1433,58,1.433,58,1.0931800061371177,58
sparse,30,0.2,3,A*,106,277,58,0.277,58,0.24429798941127956,58
sparse,30,0.2,3,QHR-V2X,106,277,58,0.277,58,5.455215985421091,58
sparse,30,0.2,4,Dijkstra,718,1435,58,1.435,58,1.1936959926970303,58
sparse,30,0.2,4,A*,127,337,58,0.337,58,0.31955799204297364,58
sparse,30,0.2,4,QHR-V2X,127,337,58,0.337,58,6.862100010039285,58
sparse,30,0.2,5,Dijkstra,718,1435,62,1.435,62,1.2432010262273252,62
sparse,30,0.2,5,A*,620,1475,62,1.475,62,1.4824449899606407,62
sparse,30,0.2,5,QHR-V2X,616,1465,62,1.465,62,32.960462995106354,62
